47,1707556521.5690732,jared_healy,True,Point Stairs Side,No Card,Jared|Aimee|Lachie,2,PossibleSkim|Danger|PossibleCard|
48,1707558818.865174,jared_healy,True,Point Stairs Side,No Card,Jared|Aimee|Lachie,2,BodyPart
49,1707558936.5484624,jared_healy,True,Point Stairs Side,No Card,Jared|Lachie|Aimee,2,BodyPart|Rebound|
50,1708005803.9861865,jared_healy,True,Point IGA Side,Extended Yellow Card (4-6 rounds),Jared|Lachie,2,PossibleCard|Card|PossibleSkim|Skim|YellowCard|Danger|
51,1707558784.4299111,jared_healy,True,Fault,Green Card,Jared|Lachie|Aimee|Eva,2,Serve|Fault|Advantage|GreenCard|Misconduct|PossibleCard|Card|Swearing|
52,1708005619.1344028,jared_healy,True,Point IGA Side,Yellow Card,Jared|Lachie,2,Danger|PossibleSkim|Skim|PossibleCard|Card|YellowCard|
53,1707558595.7733803,jared_healy,True,Point Stairs Side,No Card,Jared|Lachie|Aimee,2,PossibleJames|Danger|PossibleCard|
54,1707558825.5837157,jared_healy,True,Fault,No Card,Jared|Lachie|Aimee,2,Serve|Advantage|Fault
55,1707559266.2903738,jared_healy,True,Point IGA Side,No Card,Jared|Aimee|Lachie,2,PossibleJames|Danger|PossibleCard
56,1707413245.9201198,lachlan_banks,True,Point Stairs Side,Green Card,Jared|Aimee|Lachie,3,GreenCard|Danger|PossibleSkim|Skim|PossibleCard|Card|
56,1708005681.475656,jared_healy,True,Point Stairs Side,Green Card,Lachie|Jared|Aimee,2,GreenCard|Danger|PossibleSkim|Skim|PossibleCard|Card|||
57,1707634301.6662672,jared_healy,True,Point IGA Side,Extended Yellow Card (4-6 rounds),Jared|Lachie|Aimee,2,ShortYellow|Danger|James|PossibleJames|PossibleCard|Card
58,1707558918.1874533,jared_healy,True,Fault,No Card,Jared|Lachie,2,PossibleCard|Danger|PossibleSkim|Fault|Serve|
59,1707413108.7003355,lachlan_banks,True,Point Stairs Side,No Card,Jared|Lachie|Aimee,3,Serve|Nothing|Advantage
59,1707558134.2512512,jared_healy,True,Point Stairs Side,No Card,Lachie|Jared,2,Serve|Nothing|Advantage
60,1707558768.7745168,jared_healy,False,garbage,garbage,garbage,0,garbage
61,1707558980.3475308,jared_healy,True,Point IGA Side,Yellow Card,Jared|Lachie|Aimee,2,Misconduct|PossibleCard|Card|YellowCard|TalkingOutsideBRA|Abuse|TimeWasting|
62,1707558874.6850815,jared_healy,True,Point IGA Side,No Card,Jared|Lachie|Aimee,2,BraViolation|BodyPart
63,1707416979.4814398,lachlan_banks,False,Point IGA Side,Extended Yellow Card (4-6 rounds),Jared|Lachie|Aimee,3,Misconduct|ShortYellow|Abuse|TimeWasting|YellowCard|PossibleCard|Card|TalkingOutsideBRA|
63,1707558718.5084126,jared_healy,True,Point IGA Side,Extended Yellow Card (4-6 rounds),Jared|Lachie,2,Misconduct|ShortYellow|Abuse|TimeWasting|YellowCard|PossibleCard|Card|TalkingOutsideBRA|
64,1707557868.503932,jared_healy,True,Fault,Extended Yellow Card (4-6 rounds),Aimee|Jared|Lachie,2,ShortYellow|TalkingOutsideBRA|Abuse|Misconduct|PossibleCard|Card|
65,1707558117.618367,jared_healy,True,Fault,Red Card,Jared|Aimee,2,RedCard|TalkingOutsideBRA|Abuse|Swearing|Misconduct|PossibleCard|Card|
66,1707558762.323967,jared_healy,True,Point IGA Side,Green Card,Jared|Lachie,2,TalkingOutsideBRA|GreenCard|Serve|Misconduct|PossibleCard|Card|Abuse|BraViolation|
67,1707558575.2332954,jared_healy,True,Point Stairs Side,Green Card,Jared|Aimee|Lachie,2,Misconduct|PossibleCard|Card|GreenCard|Swearing|
68,1707558809.7565365,jared_healy,True,Point IGA Side,No Card,Jared|Lachie|Aimee,2,Serve|
69,1707558767.04496,jared_healy,True,Fault,No Card,Jared|Lachie|Aimee,2,Serve|Fault|BelowWaist|
70,1707559008.2122416,jared_healy,False,Fault,No Card,Jared|Lachie|Aimee,2,PossibleJames|Danger|PossibleCard|Serve|Fault|Advantage
71,1707559299.8816848,jared_healy,True,Point IGA Side,Green Card,Jared|Lachie|Aimee,2,Misconduct|PossibleCard|Card|PossibleJames|GreenCard|Swearing|Danger
72,1708091965.4105089,jared_healy,True,Point IGA Side,No Card,Jared|Lachie,2,Misconduct|PossibleCard|Nothing|Serve|
73,1708092795.724048,jared_healy,True,Point Stairs Side,Green Card,Jared|Lachie|Aimee,2,PossibleSkim|Skim|GreenCard|CardPossibleJames|PossibleCard|Danger|
74,1707558780.205618,jared_healy,True,Point IGA Side,Yellow Card,Jared|Lachie|Aimee,2,YellowCard|EquipmentAbuse|Misconduct|PossibleCard|Card|TimeWasting|
75,1707558695.5120182,jared_healy,False,garbage,garbage,garbage,0,garbage
76,1707558827.5903156,jared_healy,False,garbage,garbage,garbage,0,garbage
77,1707558852.4674897,jared_healy,True,Point IGA Side,No Card,Jared|Aimee|Lachie,2,BodyPart
78,1707634303.0977175,jared_healy,True,Point IGA Side,Extended Yellow Card (7+ rounds),Jared|Aimee|Lachie,2,Misconduct|PossibleCard|Card|LongYellow|James|PossibleJames|Danger|
79,1707559001.9048214,jared_healy,True,Point IGA Side,Red Card,Jared|Lachie,2,Misconduct|PossibleCard|Card|RedCard|EquipmentAbuse|
