24,1707559438.2157834,jared_healy,Fault,No Card
44,1707559449.2349515,jared_healy,Point IGA Side,No Card
65,1707559463.2233088,jared_healy,Fault,Red Card
56,1707559473.7792466,jared_healy,Point Stairs Side,Green Card
70,1707559490.1977582,jared_healy,Fault,No Card
19,1707559503.6800718,jared_healy,Point Stairs Side,Extended Yellow Card (7+ rounds)
10,1707560872.263824,jared_healy,Point Stairs Side,Green Card
36,1707560883.157124,jared_healy,Replay,Extended Yellow Card (7+ rounds)
63,1707560909.4027314,jared_healy,Point IGA Side,Yellow Card
38,1707560939.6226907,jared_healy,Replay,Green Card
20,1707560952.7065263,jared_healy,Point Stairs Side,Green Card
31,1707560978.6861982,jared_healy,Point Stairs Side,No Card
77,1707560990.4951777,jared_healy,Point IGA Side,No Card
69,1707561011.6504662,jared_healy,Fault,No Card
55,1707561027.2276196,jared_healy,Point IGA Side,No Card
25,1707561043.8240921,jared_healy,Point IGA Side,No Card
59,1707561058.8899264,jared_healy,Point Stairs Side,No Card
37,1707561084.3346996,jared_healy,Replay,Red Card
46,1707561112.4948857,jared_healy,Point IGA Side,No Card
51,1707561162.73004,jared_healy,Fault,Green Card
54,1707561227.2492137,jared_healy,Fault,No Card
67,1707561246.1841996,jared_healy,Point Stairs Side,Green Card
50,1707561257.794672,jared_healy,Point IGA Side,Extended Yellow Card (4-6 rounds)
62,1707569500.151235,jared_healy,Point Stairs Side,No Card
15,1707572807.358162,jared_healy,Point Stairs Side,Red Card
69,1707651056.892289,lachlan_banks,Fault,No Card
69,1707940673.719678,zaiah_deards,Fault,No Card
64,1707940895.978091,zaiah_deards,Fault,Yellow Card
59,1707940959.1901574,zaiah_deards,Point IGA Side,No Card
59,1707940965.4138787,zaiah_deards,Point IGA Side,No Card
59,1707940980.2562563,zaiah_deards,Point Stairs Side,No Card
58,1707941071.4839065,zaiah_deards,Point Stairs Side,No Card
58,1707941095.4327295,zaiah_deards,Fault,No Card
66,1707941136.4338949,zaiah_deards,Point IGA Side,Green Card
54,1707941285.686944,zaiah_deards,Fault,No Card
56,1707941351.0116751,zaiah_deards,Replay,Green Card
56,1707941362.5916274,zaiah_deards,Point Stairs Side,Green Card
38,1707941462.0401947,zaiah_deards,Point IGA Side,Green Card
65,1707941496.5273147,zaiah_deards,Fault,Yellow Card
65,1707941505.565306,zaiah_deards,Fault,Green Card
65,1707941512.0820832,zaiah_deards,Fault,Extended Yellow Card (4-6 rounds)
65,1707941524.6776896,zaiah_deards,Fault,Extended Yellow Card (7+ rounds)
65,1707941534.6298323,zaiah_deards,Fault,Red Card
71,1707941588.3090487,zaiah_deards,Point IGA Side,Green Card
51,1707941702.162823,zaiah_deards,Point Stairs Side,Green Card
51,1707941713.4153054,zaiah_deards,Fault,Green Card
72,1707941752.4971561,zaiah_deards,Point IGA Side,No Card
50,1707941779.0921113,zaiah_deards,Fault,Green Card
50,1707941807.9368594,zaiah_deards,Point Stairs Side,No Card
50,1707941834.4796941,zaiah_deards,Point IGA Side,Extended Yellow Card (4-6 rounds)
49,1707941896.0156422,zaiah_deards,Fault,No Card
49,1707941902.387899,zaiah_deards,Replay,No Card
49,1707941915.6570966,zaiah_deards,Point Stairs Side,No Card
52,1707941949.4963508,zaiah_deards,Point IGA Side,Green Card
52,1707941956.618682,zaiah_deards,Point IGA Side,No Card
52,1707941965.4495988,zaiah_deards,Point IGA Side,Yellow Card
73,1707942041.9394047,zaiah_deards,Point Stairs Side,No Card
53,1707942138.1720064,zaiah_deards,Point IGA Side,Green Card
53,1707942151.8014946,zaiah_deards,Point Stairs Side,No Card
47,1707942202.0409093,zaiah_deards,Point Stairs Side,No Card
57,1707942240.6270292,zaiah_deards,Point IGA Side,Green Card
57,1707942248.830357,zaiah_deards,Point IGA Side,No Card
57,1707942254.7943919,zaiah_deards,Point IGA Side,Yellow Card
57,1707942259.7524672,zaiah_deards,Point IGA Side,Extended Yellow Card (4-6 rounds)
41,1707942353.897814,zaiah_deards,Point Stairs Side,No Card
61,1707942388.6159277,zaiah_deards,Point IGA Side,Green Card
61,1707942394.4703054,zaiah_deards,Point IGA Side,Yellow Card
78,1707942429.312333,zaiah_deards,Point IGA Side,Yellow Card
78,1707942433.9904299,zaiah_deards,Point IGA Side,Extended Yellow Card (4-6 rounds)
78,1707942439.7495413,zaiah_deards,Point IGA Side,Green Card
78,1707942444.4503827,zaiah_deards,Point IGA Side,Extended Yellow Card (7+ rounds)
70,1707942482.7461865,zaiah_deards,Point Stairs Side,Green Card
70,1707942519.7234101,zaiah_deards,Fault,No Card
19,1707942577.2859592,zaiah_deards,Point IGA Side,Extended Yellow Card (7+ rounds)
19,1707942595.65381,zaiah_deards,Point Stairs Side,Extended Yellow Card (7+ rounds)
69,1708001137.0130386,alex_soudure,Fault,No Card
78,1708001239.8494613,alex_soudure,Point IGA Side,Extended Yellow Card (4-6 rounds)
66,1708001344.4958591,alex_soudure,Point IGA Side,No Card
53,1708001517.66644,alex_soudure,Point IGA Side,No Card
51,1708001718.5104687,alex_soudure,Fault,No Card
65,1708002019.0828917,alex_soudure,Fault,Red Card
64,1708002088.3484924,alex_soudure,Fault,Red Card
56,1708002198.781135,alex_soudure,Point Stairs Side,Extended Yellow Card (7+ rounds)
71,1708003110.4368649,aimee_soudure,Point IGA Side,Green Card
38,1708003237.3756075,aimee_soudure,Point IGA Side,Green Card
70,1708003380.6099143,alex_soudure,Fault,No Card
38,1708003499.4479432,alex_soudure,Replay,Green Card
64,1708003548.7048817,aimee_soudure,Fault,Extended Yellow Card (4-6 rounds)
61,1708003830.1443846,aimee_soudure,Point IGA Side,Green Card
54,1708003889.32065,alex_soudure,Fault,No Card
